threshold,tn,fp,fn,tp,precision,recall,f1,tpr,fpr,cost
0.5680000000000001,684,15,146,155,0.9117647058823529,0.5149501661129569,0.6581740976645435,0.5149501661129551,0.021459227467811127,1475.0
0.5700000000000001,684,15,146,155,0.9117647058823529,0.5149501661129569,0.6581740976645435,0.5149501661129551,0.021459227467811127,1475.0
0.5720000000000001,684,15,146,155,0.9117647058823529,0.5149501661129569,0.6581740976645435,0.5149501661129551,0.021459227467811127,1475.0
0.5740000000000001,684,15,148,153,0.9107142857142857,0.5083056478405316,0.652452025586354,0.5083056478405298,0.021459227467811127,1495.0
0.5760000000000001,686,13,150,151,0.9207317073170732,0.5016611295681063,0.6494623655913978,0.5016611295681046,0.018597997138769643,1513.0
0.578,686,13,150,151,0.9207317073170732,0.5016611295681063,0.6494623655913978,0.5016611295681046,0.018597997138769643,1513.0
0.58,686,13,150,151,0.9207317073170732,0.5016611295681063,0.6494623655913978,0.5016611295681046,0.018597997138769643,1513.0
0.582,686,13,150,151,0.9207317073170732,0.5016611295681063,0.6494623655913978,0.5016611295681046,0.018597997138769643,1513.0
0.584,686,13,150,151,0.9207317073170732,0.5016611295681063,0.6494623655913978,0.5016611295681046,0.018597997138769643,1513.0
0.586,687,12,151,150,0.9259259259259259,0.4983388704318937,0.6479481641468683,0.498338870431892,0.017167381974248903,1522.0
0.588,687,12,151,150,0.9259259259259259,0.4983388704318937,0.6479481641468683,0.498338870431892,0.017167381974248903,1522.0
0.59,687,12,151,150,0.9259259259259259,0.4983388704318937,0.6479481641468683,0.498338870431892,0.017167381974248903,1522.0
0.592,687,12,152,149,0.9254658385093167,0.4950166112956811,0.645021645021645,0.49501661129567937,0.017167381974248903,1532.0
0.594,687,12,154,147,0.9245283018867925,0.4883720930232558,0.6391304347826087,0.48837209302325413,0.017167381974248903,1552.0
0.596,687,12,154,147,0.9245283018867925,0.4883720930232558,0.6391304347826087,0.48837209302325413,0.017167381974248903,1552.0
0.598,687,12,156,145,0.9235668789808917,0.48172757475083056,0.6331877729257642,0.48172757475082895,0.017167381974248903,1572.0
0.6,688,11,156,145,0.9294871794871795,0.48172757475083056,0.6345733041575492,0.48172757475082895,0.01573676680972816,1571.0
0.602,688,11,156,145,0.9294871794871795,0.48172757475083056,0.6345733041575492,0.48172757475082895,0.01573676680972816,1571.0
0.604,689,10,156,145,0.9354838709677419,0.48172757475083056,0.6359649122807017,0.48172757475082895,0.014306151645207418,1570.0
0.606,689,10,156,145,0.9354838709677419,0.48172757475083056,0.6359649122807017,0.48172757475082895,0.014306151645207418,1570.0
0.608,689,10,156,145,0.9354838709677419,0.48172757475083056,0.6359649122807017,0.48172757475082895,0.014306151645207418,1570.0
0.61,689,10,156,145,0.9354838709677419,0.48172757475083056,0.6359649122807017,0.48172757475082895,0.014306151645207418,1570.0
0.612,689,10,157,144,0.935064935064935,0.47840531561461797,0.6329670329670329,0.4784053156146163,0.014306151645207418,1580.0
0.614,689,10,157,144,0.935064935064935,0.47840531561461797,0.6329670329670329,0.4784053156146163,0.014306151645207418,1580.0
0.616,689,10,157,144,0.935064935064935,0.47840531561461797,0.6329670329670329,0.4784053156146163,0.014306151645207418,1580.0
0.618,689,10,158,143,0.934640522875817,0.4750830564784053,0.6299559471365639,0.4750830564784037,0.014306151645207418,1590.0
0.62,689,10,159,142,0.9342105263157895,0.4717607973421927,0.6269315673289183,0.47176079734219106,0.014306151645207418,1600.0
0.622,689,10,161,140,0.9333333333333333,0.46511627906976744,0.6208425720620843,0.4651162790697659,0.014306151645207418,1620.0
0.624,689,10,162,139,0.9328859060402684,0.46179401993355484,0.6177777777777778,0.46179401993355323,0.014306151645207418,1630.0
0.626,689,10,162,139,0.9328859060402684,0.46179401993355484,0.6177777777777778,0.46179401993355323,0.014306151645207418,1630.0
0.628,689,10,162,139,0.9328859060402684,0.46179401993355484,0.6177777777777778,0.46179401993355323,0.014306151645207418,1630.0
0.63,689,10,164,137,0.9319727891156463,0.45514950166112955,0.6116071428571429,0.455149501661128,0.014306151645207418,1650.0
0.632,689,10,164,137,0.9319727891156463,0.45514950166112955,0.6116071428571429,0.455149501661128,0.014306151645207418,1650.0
0.634,689,10,164,137,0.9319727891156463,0.45514950166112955,0.6116071428571429,0.455149501661128,0.014306151645207418,1650.0
0.636,690,9,164,137,0.9383561643835616,0.45514950166112955,0.6129753914988815,0.455149501661128,0.012875536480686676,1649.0
0.638,690,9,165,136,0.9379310344827586,0.45182724252491696,0.6098654708520179,0.4518272425249154,0.012875536480686676,1659.0
0.64,690,9,165,136,0.9379310344827586,0.45182724252491696,0.6098654708520179,0.4518272425249154,0.012875536480686676,1659.0
0.642,690,9,165,136,0.9379310344827586,0.45182724252491696,0.6098654708520179,0.4518272425249154,0.012875536480686676,1659.0
0.644,690,9,165,136,0.9379310344827586,0.45182724252491696,0.6098654708520179,0.4518272425249154,0.012875536480686676,1659.0
0.646,690,9,165,136,0.9379310344827586,0.45182724252491696,0.6098654708520179,0.4518272425249154,0.012875536480686676,1659.0
0.648,690,9,168,133,0.9366197183098591,0.4418604651162791,0.600451467268623,0.4418604651162776,0.012875536480686676,1689.0
0.65,690,9,168,133,0.9366197183098591,0.4418604651162791,0.600451467268623,0.4418604651162776,0.012875536480686676,1689.0
0.652,690,9,169,132,0.9361702127659575,0.43853820598006643,0.5972850678733032,0.43853820598006493,0.012875536480686676,1699.0
0.654,691,8,169,132,0.9428571428571428,0.43853820598006643,0.5986394557823129,0.43853820598006493,0.011444921316165934,1698.0
0.656,692,7,169,132,0.9496402877697842,0.43853820598006643,0.6,0.43853820598006493,0.010014306151645194,1697.0
